iTitleList,cNum,cTitle,mean,links,median,itemCount,priceList
"[['eye', 'toy', 'play', '3', 'platinum'], ['eye', 'toy', 'play', '3'], ['eye', 'toy', 'play', '3'], ['eye', 'toy', 'play'], ['eye', 'toy', 'play', '2', 'playstation', '2', 'versio'], ['eye', 'toy', 'play', '3', 'platinum', 'playstation', '2', 'pal'], ['eye', 'toy', 'play', '3', 'playstation', '2']]",0,"['eye', 'toy', 'play', '3', 'platinum', '2', 'playstation', 'versio', 'pal']",3.9857142857142853,"['https://www.huuto.net/kohteet/ps2-eye-toy---play-3-platinum/521551704', 'https://www.huuto.net/kohteet/ps2-eye-toy-play-3/525726611', 'https://www.huuto.net/kohteet/ps2-eye-toy-play-3/526045135', 'https://www.huuto.net/kohteet/ps2-eye-toy---play-uudenveroinen/525679861', 'https://www.huuto.net/kohteet/eye-toy-play-2-ps2-playstation-2-uusi-suomi-versio/520192535', 'https://www.huuto.net/kohteet/eye-toy-play-3-platinum-ps2-playstation-2-pal/526261027', 'https://www.huuto.net/kohteet/eye-toy-play-3-playstation-2/526105385']",3.0,7,[3.  2.  1.9 3.  5.  8.  5. ]
"[['raceway', 'drag', 'stock', 'racing'], ['–', 'raceway', 'drag', 'sttock', 'racing'], ['raceway', 'drag', 'and', 'stock', 'racing', 'b']]",1,"['raceway', 'drag', 'stock', 'racing', '–', 'sttock', 'and', 'b']",3.1666666666666665,"['https://www.huuto.net/kohteet/ps2-raceway---drag--stock-racing/525933312', 'https://www.huuto.net/kohteet/ps2--raceway-drag--sttock-racing/526151243', 'https://www.huuto.net/kohteet/raceway---drag-and-stock-racing-b-ps2/521451015']",3.0,3,[5.5 3.  1. ]
"[['ac', 'milan', 'club', 'football', 'playstation', '2'], ['real', 'madrir', 'club', 'football'], ['real', 'madrir', 'club', 'football']]",2,"['ac', 'milan', 'club', 'football', 'playstation', '2', 'real', 'madrir']",3.466666666666667,"['https://www.huuto.net/kohteet/ac-milan-club-football-playstation-2/523844011', 'https://www.huuto.net/kohteet/real-madrir-club-football-ps2-ale--40/521607570', 'https://www.huuto.net/kohteet/real-madrir-club-football-ps2-ale--40/521607591']",2.7,3,[5.  2.7 2.7]
"[['donald', 'duck', 'pk'], ['donald', 'duck', 'pk'], ['donald', 'duck', 'pk'], ['donald', 'duck', 'pk'], ['ps', '2', 'disney', 's', 'donald', 'duck', 'pk', 'pal'], ['donald', 'duck', 'pk']]",3,"['donald', 'duck', 'pk', 'ps', '2', 'disney', 's', 'pal']",6.75,"['https://www.huuto.net/kohteet/donald-duck-pk-ps2/524708453', 'https://www.huuto.net/kohteet/donald-duck-pk---ps2/523663415', 'https://www.huuto.net/kohteet/donald-duck-pk--ps2/526082172', 'https://www.huuto.net/kohteet/donald-duck-pk-ps2/525824379', 'https://www.huuto.net/kohteet/ps-2-disneys-donald-duck-pk-cib-pal-ei-hv/526244029', 'https://www.huuto.net/kohteet/donald-duck-pk---ps2/524452736']",4.75,6,[12.   4.5  4.5 10.   5.   4.5]
